,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
77,CAAD4751DFACEB196B094256D2A24F33,FA39FF80332DDF9D426F7E8763B9FC3E,VTS,1,,2013-01-13 13:28:00,2013-01-13 13:31:00,5,180,0.63,-73.979218,40.764221,-73.977928,40.757393,CRD,4.0,0.0,0.5,2.0,0.0,6.5
78,C5CE1864D4E5AFEE683CC5B2FAA05A80,8D88CA1C0874002D34DFD22582EEC897,VTS,1,,2013-01-13 15:33:00,2013-01-13 15:53:00,6,1200,3.25,-73.952873,40.783127,-73.972023,40.757919,CRD,15.5,0.0,0.5,1.3,0.0,17.3
79,5A2E62DE70AEDE0D97B4A00677A15799,740319FBAE49CDF7D173B798E4030A8F,VTS,1,,2013-01-13 14:33:00,2013-01-13 14:41:00,5,480,1.13,-73.979256,40.784969,-73.97995,40.771011,CRD,7.0,0.0,0.5,1.0,0.0,8.5
80,BF8BC8C148C1E483272A8B0A6D2FE9C3,4F8F3F44D35C7F986E05943C8F159A7A,VTS,1,,2013-01-13 15:54:00,2013-01-13 15:57:00,1,180,0.44,-74.00260899999999,40.733795,-74.006523,40.732372,CRD,4.0,0.0,0.5,1.0,0.0,5.5
81,26DD3C2CB30956ABB1DBE3E97CFD9D05,49EC2677D1F86E53F1999B1B1EE5FD60,VTS,1,,2013-01-13 12:45:00,2013-01-13 12:56:00,3,660,2.44,-73.9683,40.801781,-73.98138399999999,40.773106,CSH,10.5,0.0,0.5,0.0,0.0,11.0
82,124FF99D9330F4366E806B3BFB039D71,0CB9AB091A024268A6566849F6FE04D0,VTS,3,,2013-01-13 12:17:00,2013-01-13 12:54:00,5,2220,13.01,-73.99101999999999,40.720863,-74.060631,40.833408,CSH,58.5,0.0,0.0,0.0,10.25,68.75
83,D8804787E720AA0CC644E477AF1DE7D9,C17516483F562C2DCE6045C514931F09,VTS,1,,2013-01-13 16:30:00,2013-01-13 16:37:00,1,420,1.42,-73.967743,40.792881,-73.951126,40.782565999999996,CRD,7.0,0.0,0.5,1.4,0.0,8.9
84,E5543A55F9B9E60EBDDB0D6451EAC082,BEDCCFCBF071A47897DF53E835E40341,VTS,1,,2013-01-13 15:56:00,2013-01-13 15:59:00,1,180,0.5,-73.967812,40.768623,-74.000793,40.736088,CRD,4.5,0.0,0.5,1.35,0.0,6.35
85,5582F434AC93D326C7FC38E975652727,3B9EF7C961ED8D46BBD8EF10CDBB784A,VTS,1,,2013-01-13 11:43:00,2013-01-13 11:51:00,6,480,1.5,-73.999741,40.761539,-73.979897,40.761547,CRD,8.0,0.0,0.5,1.6,0.0,10.1
86,C9D88504CA0D53AF3DCF5306FD11EA13,B65FA96FF959F7E7F60DD45C029E3C38,VTS,1,,2013-01-13 13:34:00,2013-01-13 13:52:00,2,1080,4.1,-74.006454,40.722553000000005,-73.984421,40.737091,CRD,15.5,0.0,0.5,1.0,0.0,17.0
87,1E458474C81162E1EF9E4DD5F5D35238,703CB9E9969D8B4B7491675B40DE0194,VTS,1,,2013-01-13 14:20:00,2013-01-13 14:24:00,2,240,0.43,-73.954704,40.783981,-73.953941,40.785416,CSH,4.0,0.0,0.5,0.0,0.0,4.5
88,90EDF3872120F174C99E2853521F077D,D61CFB32CDD112A15B6E5C8118A8ECFF,VTS,1,,2013-01-13 16:26:00,2013-01-13 16:37:00,1,660,1.14,-74.007233,40.712517,-73.990578,40.751057,CRD,9.0,0.0,0.5,1.0,0.0,10.5
89,01963F510A38DFB04FDCBB0574BF677A,E982190408EA3F03C95E1D233AD06F94,VTS,1,,2013-01-13 15:17:00,2013-01-13 15:25:00,1,480,1.98,-74.002563,40.721344,-73.991425,40.744583,CSH,8.0,0.0,0.5,0.0,0.0,8.5
